date,home_team,away_team,target,home_goals,away_goals,tournament_weight,is_neutral,home_matches_played,home_goals_for_avg,home_goals_against_avg,home_goal_diff_avg,home_win_pct,home_draw_pct,home_loss_pct,home_recent_form,away_matches_played,away_goals_for_avg,away_goals_against_avg,away_goal_diff_avg,away_win_pct,away_draw_pct,away_loss_pct,away_recent_form,home_elo,away_elo,elo_diff,goal_diff_strength,h2h_home_wins,h2h_away_wins,h2h_draws
2018-03-23,Curaçao,Bolivia,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266,1706,-440,0.0,0,0,0
2018-03-23,Cyprus,Montenegro,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409,1612,-203,0.0,0,0,0
2018-03-23,Finland,North Macedonia,1,0,0,1.0,false,1,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601,1585,16,1.0,0,0,0
2018-03-23,France,Colombia,2,2,3,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988,1926,62,0.0,0,0,0
2018-03-23,Gambia,Central African Republic,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274,1294,-20,0.0,0,0,0
2018-03-23,Germany,Spain,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108,2030,78,0.0,0,0,0
2018-03-23,Greece,Switzerland,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660,1865,-205,0.0,0,0,0
2018-03-23,Guadeloupe,Trinidad and Tobago,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,1419,-154,0.0,0,0,0
2018-03-23,Hungary,Kazakhstan,2,2,3,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611,1339,272,0.0,0,0,0
2018-03-23,Italy,Argentina,2,0,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1905,1984,-79,0.0,0,0,0
