team,avg_goals_for,avg_goals_against,avg_goal_diff,avg_win_pct,avg_elo
Northern Ireland,0.9521551506103809,1.325271310315703,-0.3731161597053221,0.4782614587909672,1588.6666666666667
Mayotte,0.8406206767199765,0.5796896616400118,0.2609310150799648,0.5796896616400118,1224.0
Gozo,0.36794861126867207,0.8164221888030742,-0.44847357753440203,0.7590320860494398,1500.0
Ynys Môn,3.2571108433852736,1.1437731362655899,2.1133377071196837,0.7467384629439652,1500.0
Marshall Islands,0.0,0.0,0.0,0.0,559.0
Senegal,1.610446306434191,0.6653042036294484,0.9451421028047423,0.43629514424585303,1748.482142857143
Macau,0.3161459520549707,1.926752254295026,-1.6106063022400554,0.41589398827516266,1500.0
Vatican City,0.0,0.0,0.0,0.0,1500.0
Raetia,2.2843521494670926,2.8994357109440756,-0.6150835614769834,0.3754936732400615,1500.0
Syria,1.0519051510379993,1.5024266983234533,-0.45052154728545407,0.49172012902739787,1446.4545454545455
Serbia,1.4084583559218093,1.1804602189814448,0.22799813694036472,0.3292590566620817,1802.860465116279
Åland Islands,0.27809812964105374,1.8895295926154407,-1.611431462974387,0.27809812964105374,1500.0
Estonia,0.6908178172853618,1.9030193157938529,-1.2122014985084908,0.44258205972054054,1413.6904761904761
Turkmenistan,0.9365814760837883,2.0029909011139813,-1.066409425030193,0.557811070420097,1233.076923076923
Moldova,0.590208009539341,2.112036731900375,-1.521828722361034,0.44146113825417027,1272.8863636363637
Liberia,0.6925549648746872,1.536990434103544,-0.8444354692288568,0.4562889874708952,1303.857142857143
Timor-Leste,0.6999278721838422,2.723713370537056,-2.023785498353214,0.6231025187790317,657.2727272727273
Egypt,1.4755339807579748,0.7982928135017818,0.677241167256193,0.5507001345448073,1637.6909090909091
Cape Verde,1.1789644064463847,1.0975805366474831,0.08138386979890129,0.4222288562383763,1485.8235294117646
Kuwait,1.0448047073774747,1.414768930006567,-0.3699642226290922,0.3645028624950122,1378.5
Venezuela,0.9856596556266383,1.258116668268692,-0.2724570126420537,0.421495414629392,1751.84375
Singapore,1.2505124324368326,1.8164175633789859,-0.565905130942153,0.5351186639333596,1111.2272727272727
Elba Island,2.0,1.0,1.0,0.5,1500.0
Gibraltar,0.3841226639702636,2.848354790908492,-2.464232126938229,0.48999202512169704,1062.4883720930231
North Korea,0.9318383598957045,1.5245149732615684,-0.5926766133658637,0.6128144533261672,1394.3076923076924
Kyrgyzstan,1.364940973072615,1.6597804526483735,-0.2948394795757584,0.5986193559510493,1266.8918918918919
Argentina,1.9326277007005837,0.7324166595595202,1.2002110411410634,0.49462425253225323,2062.597014925373
Zimbabwe,0.925452177904494,1.1621867019485472,-0.23673452404405324,0.3004703636748092,1390.0
Samoa,1.6461312028988366,2.281338021338038,-0.6352068184392013,0.6577079885617695,708.3
Puerto Rico,1.4673031784101542,1.6230008086419918,-0.15569763023183758,0.5229472294277026,1093.5833333333333
El Salvador,1.0119723219637915,1.2466232443938834,-0.23465092243009178,0.5186303505687312,1470.9777777777779
Japan,2.0864415025372667,0.878035522065665,1.2084059804716014,0.5060591331838837,1795.6301369863013
Parishes of Jersey,0.29760426410740015,0.5,-0.20239573589259982,0.5,1500.0
Tanzania,0.7474423037753446,1.2156507307959472,-0.4682084270206027,0.49193049234625824,1334.5757575757575
Seychelles,0.3846498490768823,2.64123559923144,-2.256585750154558,0.44788665201663586,914.2631578947369
Cascadia,2.670273083811682,1.914090972285905,0.756182111525777,0.49968379843487487,1500.0
Saint Kitts and Nevis,1.5268372792038083,1.9561796270173801,-0.42934234781357183,0.5578305696384158,1146.142857142857
Latvia,0.7697119279153513,1.674891623172763,-0.9051796952574117,0.3902884610746121,1306.857142857143
Andorra,0.37995547292686754,1.7880281772906463,-1.4080727043637788,0.44277167531706413,1075.6046511627908
Netherlands,2.0882802264159817,1.0119100265541012,1.0763701998618804,0.40756041034686724,1971.5593220338983
Faroe Islands,0.7767135208627458,1.8583327540168864,-1.0816192331541405,0.5101368246596969,1262.1944444444443
Gambia,1.0444890621611593,1.1180302122676862,-0.07354115010652691,0.36576140304674276,1365.5555555555557
Georgia,1.5014499097344625,1.2576186682021795,0.243831241532283,0.47758216564350753,1606.0454545454545
Solomon Islands,2.3164182566287788,1.2470480954121452,1.0693701612166338,0.5089553118681939,1220.4285714285713
San Marino,0.1975622672425653,3.488653873177228,-3.291091605934663,0.538471048337511,809.7179487179487
Falkland Islands,0.2504813516139002,3.500962703227801,-3.2504813516139004,0.7495186483860998,571.0
United States Virgin Islands,0.6769623611680103,2.62788866375761,-1.9509263025896,0.36857016049473595,667.1764705882352
Paraguay,0.8315420716156062,1.2637696258069047,-0.43222755419129844,0.47226699111485615,1745.3214285714287
Denmark,1.5400350512135599,0.8007703402028733,0.7392647110106866,0.45733112862819103,1889.8909090909092
Peru,0.988392800109694,1.122350302636291,-0.13395750252659705,0.49182078710764565,1811.6521739130435
Kosovo,1.4419877783252693,1.2045141984347318,0.23747357989053747,0.46562506684892785,1524.6382978723404
Chameria,2.24976587294835,2.4812983823775245,-0.23153250942917486,0.7446767842056098,1500.0
Bermuda,1.5748034201699905,2.3967637693733304,-0.8219603492033399,0.5452100239174058,1182.25
South Ossetia,1.8487285087177145,1.032456156980169,0.8162723517375455,0.25822594971966883,1500.0
Alderney,0.4611646298547306,2.615795554320716,-2.154630924465985,0.055170912671695715,1500.0
Thailand,1.5712911487887793,1.0595548554666923,0.5117362933220871,0.4279482208508218,1388.4464285714287
Sint Maarten,1.423325193915745,4.330910512676845,-2.9075853187611003,0.6177823607829789,822.1333333333333
American Samoa,0.3152958797831819,5.359801059289491,-5.044505179506309,0.39465327690577673,1500.0
Nigeria,1.4042638814073218,0.979331121782628,0.42493275962469385,0.41680943374610935,1653.7058823529412
South Africa,1.3900187402047695,0.8108897083420888,0.5791290318626807,0.4485507349558882,1533.4788732394366
Cyprus,0.7068587899783386,2.011226285246335,-1.304367495267997,0.4713472047013032,1345.275
Haiti,1.9617123228543283,1.272578818060853,0.6891335047934751,0.5148313802169068,1532.2285714285715
Fiji,1.6544915323016138,1.3412547462088333,0.3132367860927807,0.547466696078163,1223.8333333333333
Iran,1.8012732527495288,0.707039111790888,1.0942341409586407,0.44533856741594624,1806.8823529411766
United Arab Emirates,1.394164478082959,1.124641544401981,0.2695229336809782,0.4976732871759458,1491.3064516129032
Maldives,0.9713435195569294,2.2608682006800014,-1.2895246811230716,0.6195137361373381,920.6666666666666
Saint Helena,1.0032572129089075,5.50555137030967,-4.502294157400762,0.9991826217997382,1500.0
Guadeloupe,1.3648624541638181,1.2518489975062728,0.1130134566575453,0.4026999727296992,1265.9130434782608
Benin,0.981472240066516,1.1239925748325215,-0.1425203347660055,0.5410594302771842,1421.0625
Oman,0.9754113494088499,0.8740216588068145,0.10138969060203543,0.45768004622422925,1526.1964285714287
West Papua,1.0,4.0,-3.0,0.0,1500.0
Tahiti,1.3471981955333552,1.1355524804698498,0.21164571506350546,0.4721086879569919,1176.2142857142858
Nicaragua,1.3931640828265706,1.3744112749207227,0.018752807905847782,0.4953119071134297,1275.735294117647
Chad,0.35293191982002103,1.4665078944829912,-1.1135759746629703,0.4801265488885875,1175.8125
Wales,1.270695479055163,1.1214357143293294,0.14925976472583363,0.4342251919166983,1765.6122448979593
Morocco,1.8470328504526061,0.5080278351530249,1.3390050152995812,0.5971987061746906,1769.1411764705883
Scotland,1.2073765848792177,1.442121757136132,-0.23474517225691421,0.43168846368044184,1715.8260869565217
Kenya,1.1074163472873038,1.27965591392239,-0.1722395666350861,0.4539400727135915,1373.3823529411766
Bahrain,1.3625312348268495,1.1049082165512703,0.2576230182755791,0.41423607745697844,1489.1714285714286
Barbados,0.9713036798651103,1.9356639221150282,-0.9643602422499178,0.4381310397534185,1053.7666666666667
Djibouti,0.6783178193016528,2.791117709942071,-2.112799890640418,0.5034194723222567,895.2142857142857
Congo DR DR,1.0342345681671254,0.8722125052580961,0.16202206290902935,0.42158030312442424,1500.0
Brunei,0.7702290804479431,3.317683324423628,-2.547454243975685,0.686616335704112,627.2777777777778
Cuba,0.999746490840026,1.844866902031997,-0.8451204111919711,0.5852639756858795,1286.4545454545455
Eritrea,0.0,0.0,0.0,0.0,1074.0
Yoruba Nation,0.5,0.5,0.0,0.0,1500.0
Albania,0.9078845423017131,1.252265420207255,-0.3443808779055418,0.42103873695156074,1584.0851063829787
Israel,1.3854707566787372,1.6942496520922383,-0.30877889541350123,0.5438730312569242,1590.3055555555557
Slovenia,1.2201726601029275,1.039133571707935,0.1810390883949923,0.44001341425525436,1657.2325581395348
Tamil Eelam,1.8346505481424105,1.8044809955028582,0.030169552639552205,0.8702536957524484,1500.0
Hungary,1.2581483701055252,1.2706394420781912,-0.01249107197266627,0.37552381717661587,1724.9019607843138
Curaçao,1.526977977528586,1.2654099673274468,0.26156801020113934,0.4672797054637597,1359.4666666666667
Sweden,1.4203020131030508,1.210591678991771,0.2097103341112798,0.523216982007234,1790.3090909090909
Bosnia-Herzegovina,0.9261089545396275,1.4184838731301233,-0.49237491859049587,0.4020265158854227,1625.878048780488
Equatorial Guinea,0.9865558758505396,1.189159546728859,-0.2026036708783193,0.5090481412902226,1429.837837837838
Matabeleland,0.8604483100701392,3.9253874585895216,-3.0649391485193824,0.6823963647930551,1500.0
Mexico,1.4235375624450874,0.9277499335216876,0.4957876289233998,0.43842041413978583,1841.9555555555555
Türkiye,1.6785235812395893,1.3368917277705537,0.34163185346903585,0.4096235177191129,1762.857142857143
Padania,3.7242962254217096,0.797595490802345,2.9267007346193648,0.8062851273996591,1500.0
Saint Martin,1.5282009384901407,2.420029437745412,-0.8918284992552712,0.5827581377086931,858.9166666666666
Martinique,1.0000001209828624,1.6131424249594102,-0.6131423039765478,0.44873598161948386,1411.85
Niger,0.8789352643103658,1.6814247904763662,-0.8024895261660002,0.49504292122810656,1266.2571428571428
Poland,1.4743003477142875,1.255423853795365,0.21887649391892272,0.4277206981580919,1771.0344827586207
Armenia,0.9586875584041865,1.8689271561711716,-0.9102395977669849,0.4396325248342484,1460.4146341463415
Anguilla,0.5116362056532161,3.764786852274763,-3.2531506466215467,0.40016970242516237,582.7857142857143
Czech Republic,1.5124586278321643,1.403207840054267,0.10925078777789753,0.5226146497438175,1762.0
Isle of Wight,1.666668314304639,0.33461775986986714,1.3320505544347718,0.0,1500.0
Uruguay,1.4077825011617935,0.7281545907779748,0.6796279103838186,0.4243240554645316,1936.341463414634
Spain,2.292682015914579,0.8240266567410933,1.4686553591734854,0.38965874191323324,2063.9310344827586
Malaysia,1.5631741965257762,1.3769476345644358,0.18622656196134044,0.5937333021416543,1196.5454545454545
Montserrat,1.1618701896892254,1.9124135175484251,-0.7505433278591997,0.3771253093232266,898.8888888888889
Ivory Coast,1.6508736480509643,0.7762688368763915,0.8746048111745726,0.5167415431003969,1627.6607142857142
Panama,1.3118961702632512,1.5116245185366672,-0.19972834827341593,0.4651653151058821,1648.4583333333333
Belize,0.9806579515722204,1.4455167330595542,-0.4648587814873337,0.5046696019534723,1101.4814814814815
Guyana,1.5563687928924061,1.714205299698577,-0.1578365068061707,0.576928786171858,1222.0833333333333
Madagascar,0.8840407220566683,1.3343358119464737,-0.4502950898898053,0.5021100917590346,1327.3243243243244
Zanzibar,0.5348828393536647,0.2151171606463353,0.31976567870732936,0.5348828393536647,1320.0
Burundi,1.0896499926175445,1.5550840627610383,-0.46543407014349364,0.41635707282280765,1282.1818181818182
Vanuatu,1.0501236509790166,1.9176096211124554,-0.8674859701334388,0.4820005521912228,1120.6470588235295
Bulgaria,0.7704059363186821,1.4837065923117425,-0.7133006559930603,0.38325996738097295,1521.842105263158
Western Isles,0.4623872321647753,2.4683029604423776,-2.0059157282776026,0.7489967929353728,1500.0
Guinea-Bissau,0.8580279367480763,1.4547973784202883,-0.5967694416722119,0.49059485085161325,1340.12
Shetland,1.528877125303886,1.8395153993000208,-0.3106382739961348,0.8332253615990872,1500.0
